,Date,Peak_Eccentric_Force,Peak_Concentric_Force,Jump_Height,Leg,Player
1,12/17/23,1566.099167,2073.849826,8.110429197,Left,Jeremy Onion
2,12/18/23,1455.454844,2112.158204,6.232269871,Left,Jeremy Onion
3,1/22/24,1609.136074,2089.475731,8.523894348,Left,Jeremy Onion
4,10/14/23,1662.662397,1959.66904,6.901726962,Left,Jeremy Onion
5,12/1/23,1496.100033,1839.7782,7.707496107,Left,Jeremy Onion
6,6/7/24,1557.644006,2085.26499,7.50560592,Left,Jeremy Onion
7,4/24/24,1573.04764,2250.213502,6.233160075,Left,Jeremy Onion
8,6/8/24,1554.658069,1900.359924,7.670870422,Left,Jeremy Onion
9,4/8/24,1410.269402,1990.688536,7.850205349,Left,Jeremy Onion
10,5/29/24,1609.38266,1901.354715,7.42559757,Left,Jeremy Onion
11,3/30/24,1345.682452,2033.172809,4.71847686,Left,Jeremy Onion
12,5/16/24,1537.956206,2145.688018,9.060850828,Left,Jeremy Onion
13,3/11/24,1436.721358,2014.882643,8.333374901,Left,Jeremy Onion
14,2/15/24,1538.63038,2089.251395,6.579960436,Left,Jeremy Onion
15,2/19/24,1494.955989,2109.161908,7.750691745,Left,Jeremy Onion
16,1/29/24,1586.731173,2077.3264,7.42659233,Left,Jeremy Onion
17,12/14/23,1342.423795,2065.76773,8.067351615,Left,Jeremy Onion
18,12/2/23,1448.507206,1962.269701,5.728026101,Left,Jeremy Onion
19,5/15/24,1535.525738,2054.876356,7.018469126,Left,Jeremy Onion
20,3/3/24,1452.364515,2057.575817,6.735926009,Left,Jeremy Onion
21,10/5/23,1670.405164,2084.98811,4.342309481,Left,Jeremy Onion
22,10/22/23,1566.037986,1965.811849,5.76121966,Left,Jeremy Onion
23,2/21/24,1604.736485,2034.952177,6.882696986,Left,Jeremy Onion
24,12/10/23,1529.768629,2221.602501,5.593236881,Left,Jeremy Onion
25,4/25/24,1518.826239,1997.122037,7.449841895,Left,Jeremy Onion
26,3/29/24,1387.080383,2052.045958,5.458904949,Left,Jeremy Onion
27,4/4/24,1686.28377,1884.203856,6.748737191,Left,Jeremy Onion
28,11/8/23,1473.700686,2083.757564,7.125319909,Left,Jeremy Onion
29,5/17/24,1481.025683,2158.770496,6.828841877,Left,Jeremy Onion
30,11/10/23,1620.808171,2324.217383,5.499290617,Left,Jeremy Onion
31,1/3/24,1435.094102,2046.139385,7.460109002,Left,Jeremy Onion
32,1/30/24,1497.328672,1778.82724,7.404192687,Left,Jeremy Onion
33,10/31/23,1595.39811,1950.796871,6.45999156,Left,Jeremy Onion
34,10/10/23,1273.00305,2142.685922,7.834505721,Left,Jeremy Onion
35,5/14/24,1537.603481,2246.300017,7.128043922,Left,Jeremy Onion
36,11/27/23,1445.749774,2014.825595,7.595620255,Left,Jeremy Onion
37,10/30/23,1474.852061,2049.517077,5.889514282,Left,Jeremy Onion
38,11/28/23,1617.81708,1974.582991,6.42340822,Left,Jeremy Onion
39,3/12/24,1390.203753,2086.875476,6.597890872,Left,Jeremy Onion
40,5/11/24,1549.80076,2126.976309,7.281751594,Left,Jeremy Onion
41,4/5/24,1297.71468,2080.228503,8.277559176,Left,Jeremy Onion
42,11/18/23,1604.859866,2225.29931,8.365710537,Left,Jeremy Onion
43,2/24/24,1389.858689,2236.836097,8.017392942,Left,Jeremy Onion
44,4/15/24,1449.810648,1976.385016,8.956876866,Left,Jeremy Onion
45,5/25/24,1532.498919,2061.976908,7.459086309,Left,Jeremy Onion
46,11/13/23,1437.017795,1895.158215,8.478765661,Left,Jeremy Onion
47,5/4/24,1502.431813,2091.664577,8.30286209,Left,Jeremy Onion
48,10/19/23,1592.541957,2154.754282,7.436750915,Left,Jeremy Onion
49,4/26/24,1430.062113,1984.810398,5.61418288,Left,Jeremy Onion
50,2/3/24,1357.237367,2024.308328,6.71339645,Left,Jeremy Onion
51,3/5/24,1491.797181,2065.196578,7.560873197,Left,Jeremy Onion
52,4/11/24,1284.399862,2062.013561,8.095242804,Left,Jeremy Onion
53,6/12/24,1376.985804,2032.984486,6.97662421,Left,Jeremy Onion
54,5/10/24,1447.62234,2011.57633,8.257001886,Left,Jeremy Onion
55,12/5/23,1538.890416,1869.584197,9.343223501,Left,Jeremy Onion
56,2/18/24,1579.156484,2197.660365,5.902259661,Left,Jeremy Onion
57,10/28/23,1556.120839,2093.94024,5.593248828,Left,Jeremy Onion
58,6/18/24,1651.376454,2085.432831,8.054817254,Left,Jeremy Onion
59,3/19/24,1569.632325,2215.53123,8.273185033,Left,Jeremy Onion
60,3/2/24,1517.180568,1975.300167,6.746973957,Left,Jeremy Onion
61,5/27/24,1479.923098,2045.990062,6.656079839,Left,Jeremy Onion
62,3/25/24,1562.990878,2114.88027,6.408153282,Left,Jeremy Onion
63,2/11/24,1202.4955,1879.518974,4.833018894,Left,Jeremy Onion
64,1/1/24,1400.812114,2052.696166,6.296688979,Left,Jeremy Onion
65,5/19/24,1561.392308,2253.047123,8.172732677,Left,Jeremy Onion
66,3/15/24,1600.813244,2055.672349,4.717696648,Left,Jeremy Onion
67,2/23/24,1493.597432,2080.722717,8.500279249,Left,Jeremy Onion
68,3/21/24,1270.762505,2145.238974,5.135160754,Left,Jeremy Onion
69,5/7/24,1382.763085,2005.143569,6.04543213,Left,Jeremy Onion
70,10/29/23,1594.535142,2072.984605,9.244765634,Left,Jeremy Onion
71,3/23/24,1681.710999,1966.12766,7.118579822,Left,Jeremy Onion
72,2/1/24,1522.84305,2009.637142,5.279107212,Left,Jeremy Onion
73,1/15/24,1463.027528,2080.913612,7.248406577,Left,Jeremy Onion
74,6/17/24,1602.118927,2180.439293,8.660759193,Left,Jeremy Onion
75,6/20/24,1507.256769,1923.003793,8.685817597,Left,Jeremy Onion
76,4/10/24,1595.120559,1835.741965,6.044715358,Left,Jeremy Onion
77,12/21/23,1458.88666,2212.087579,5.797616357,Left,Jeremy Onion
78,11/29/23,1608.495773,1997.082387,8.063835704,Left,Jeremy Onion
79,10/9/23,1488.920606,2043.541068,5.213839742,Left,Jeremy Onion
80,1/11/24,1479.668923,2073.933513,7.133103108,Left,Jeremy Onion
81,4/28/24,1425.424086,2001.440708,7.683567825,Left,Jeremy Onion
82,1/9/24,1464.233015,1937.627118,4.579317774,Left,Jeremy Onion
83,5/18/24,1557.184988,2146.69849,7.01289509,Left,Jeremy Onion
84,1/31/24,1507.854308,1927.420806,6.647558899,Left,Jeremy Onion
85,12/8/23,1410.629194,2185.187128,7.216176197,Left,Jeremy Onion
86,6/2/24,1543.745151,2070.289143,7.999031958,Left,Jeremy Onion
87,2/10/24,1436.799106,2060.612724,7.024681661,Left,Jeremy Onion
88,10/21/23,1526.37864,2070.336518,6.598059692,Left,Jeremy Onion
89,12/20/23,1409.616016,2143.94373,5.598270338,Left,Jeremy Onion
90,6/4/24,1475.288253,2018.112257,6.659873068,Left,Jeremy Onion
91,3/28/24,1385.003376,1972.698364,4.460879823,Left,Jeremy Onion
92,12/29/23,1393.132231,1973.562426,6.721220185,Left,Jeremy Onion
93,1/12/24,1527.486532,1846.456572,7.816695051,Left,Jeremy Onion
94,10/17/23,1536.54775,1799.005641,7.695519222,Left,Jeremy Onion
95,11/17/23,1561.282255,1905.083622,8.125388055,Left,Jeremy Onion
96,3/27/24,1440.435357,2078.836355,6.832621416,Left,Jeremy Onion
97,6/1/24,1408.786704,2047.190502,8.297216149,Left,Jeremy Onion
98,10/12/23,1357.090502,2040.337572,7.558467923,Left,Jeremy Onion
99,1/21/24,1644.653122,2211.816892,4.323425183,Left,Jeremy Onion
100,11/4/23,1421.524884,2090.135645,6.088063023,Left,Jeremy Onion
